Title,Portfolio,Domain,ReportURL,ReportPageTitle
Information Advisory Committee,Attorney-General's,oaic.gov.au,https://www.oaic.gov.au/about-us/corporate-information/senate-file-list-order/,Senate file list order | Corporate information | About us ...
National Archives of Australia Advisory Council,Attorney-General's,naa.gov.au,http://www.naa.gov.au/Images/JultoDec2005_tcm16-35980.pdf,SENATE FILE LIST - National Archives of Australia
National Native Title Tribunal,Attorney-General's,nntt.gov.au,http://www.nntt.gov.au/Reporting%20Publications/File%20Listing%20for%20Senate%20Continuing%20Order%20Jul%20-%20Dec%202018.pdf,List of Tribunal Files - nntt.gov.au
Privacy Advisory Committee,Attorney-General's,oaic.gov.au,https://www.oaic.gov.au/about-us/corporate-information/senate-file-list-order/,Senate file list order | Corporate information | About us ...
Department of Communications and the Arts,Communications and the Arts,communications.gov.au,https://www.communications.gov.au/who-we-are/department/senate-orders,Senate orders | Department of Communications and the Arts
Australia Council,Communications and the Arts,australiacouncil.gov.au,https://www.australiacouncil.gov.au/about/harradine-reports/,Harradine Reports | Australia Council
Australian Broadcasting Corporation,Communications and the Arts,abc.net.au,http://about.abc.net.au/submissions/,Indexed list of files | About the ABC
Australian Communications and Media Authority,Communications and the Arts,acma.gov.au,https://acma.gov.au/theACMA/About/Corporate/Accountability/statutory-reports-acma-1,Statutory reports | ACMA
"Australian Film, Television and Radio School",Communications and the Arts,aftrs.edu.au,https://www.aftrs.edu.au/award-course/master-of-arts-screen-producing/,2019 Master of Arts Screen: Producing | Australian Film ...
Australian National Maritime Museum,Communications and the Arts,anmm.gov.au,https://www.anmm.gov.au/-/media/anmm/files/about-us/anmm-privacy-policy.docx?la=en&hash=468E03D4108F4C45E71FB2F7E89C08C74818F9D7,Scope - anmm.gov.au
Australian Postal Corporation,Communications and the Arts,auspost.com.au,https://auspost.com.au/,"Australia Post - Personal, Business, Enterprise ..."
Museum of Australian Democracy at Old Parliament House,Communications and the Arts,moadoph.gov.au,https://www.moadoph.gov.au/about/corporate-documents/,Corporate documents · Museum of Australian Democracy at ...
National Film and Sound Archive of Australia,Communications and the Arts,nfsa.gov.au,https://www.nfsa.gov.au/about/corporate-information/publications/harradine-reports,Harradine Reports | NFSA
National Gallery of Australia,Communications and the Arts,nga.gov.au,https://nga.gov.au/aboutus/files.cfm,About us : FOI List of files - National Gallery of Australia
National Library of Australia,Communications and the Arts,nla.gov.au,https://www.nla.gov.au/policy-and-planning/indexed-list-of-file-titles,Indexed list of file titles | National Library of Australia
National Museum of Australia,Communications and the Arts,nma.gov.au,https://www.nma.gov.au/about/corporate/departmental-file-lists/departmental-file-list-1-january-to-30-june-2018,Departmental file list 1 January to 30 June 2018 ...
National Portrait Gallery of Australia,Communications and the Arts,portrait.gov.au,https://www.portrait.gov.au/content/indexed-list-of-file-titles,"Indexed list of file titles, National Portrait Gallery"
Screen Australia,Communications and the Arts,screenaustralia.gov.au,https://afcarchive.screenaustralia.gov.au/downloads/pubs/listjul_dec05.pdf,Indexed Files Opened For the Period
Special Broadcasting Service Corporation,Communications and the Arts,sbs.com.au,https://www.sbs.com.au/aboutus/corporate/view/id/115/h/Senate-Continuing-Order-No.-5,Corporate : View : SBS Corporate
ABC Advisory Council,Communications and the Arts,abc.net.au,http://about.abc.net.au/submissions/,Indexed list of files | About the ABC
Classification Board,Communications and the Arts,classification.gov.au,http://www.classification.gov.au/About/AnnualReports/Pages/annual-report-2016-17/annual-report-2016-17.aspx,Annual report 2016–17 | Australian Classification
Classification Review Board,Communications and the Arts,classification.gov.au,http://www.classification.gov.au/About/AnnualReports/Pages/annual-report-2016-17/annual-report-2016-17.aspx,Annual report 2016–17 | Australian Classification
Copyright Tribunal of Australia,Communications and the Arts,copyrighttribunal.gov.au,https://www.copyrighttribunal.gov.au/publications,Publications - Copyright Tribunal of Australia
eSafety Commissioner,Communications and the Arts,esafety.gov.au,https://www.esafety.gov.au/,eSafety Homepage | Office of the eSafety Commissioner
Public Lending Right Committee,Communications and the Arts,arts.gov.au,https://www.arts.gov.au/sites/default/files/indigenous-australian-art-charter-of-principles-for-publicly-funded-collecting-institutions.pdf,Indigenous Australian Art Charter of Principles for ...
Regional Telecommunications Independent Review Committee,Communications and the Arts,rtirc.gov.au,UNKNOWN,UNKNOWN
SBS Community Advisory Committee,Communications and the Arts,sbs.com.au,https://www.sbs.com.au/aboutus/corporate/view/id/115/h/Senate-Continuing-Order-No.-5,Corporate : View : SBS Corporate
Department of Defence,Defence,defence.gov.au,http://www.defence.gov.au/Publications/Parliament/SenateOrder/,Home : Senate Order : Department of Defence
Army and Air Force Canteen Service,Defence,aafcans.gov.au,https://www.aafcans.gov.au/freedom-of-information-plan/,Freedom of Information Scheme (IPS) Plan - AAFCANS: Army ...
Australian Military Forces Relief Trust Fund,Defence,armyrtf.com.au,http://armyrtf.com.au/wp-content/uploads/AMFRTF-Annual-Report-2017-18.pdf,Relief Trust Fund Annual Report 2017-2018 - armyrtf.com.au
Australian Signals Directorate,Defence,asd.gov.au,https://asd.gov.au/infosec/epl/view_document.php?document_id=NTg0IyMjMTA4LjE2Mi4yNDYuMTk5,Certification Report - asd.gov.au
Defence Housing Australia,Defence,dha.gov.au,https://www.dha.gov.au/annual-reports/2016-2017/management-and-accountability/governance-structure/,Governance structure | Defence Housing Australia
Royal Australian Navy Central Canteens Board (Royal Australian Navy Central Canteens Fund),Defence,navycanteens.com.au,https://navycanteens.com.au/,Navy Canteens
Royal Australian Navy Relief Trust Fund,Defence,defence.gov.au,http://www.defence.gov.au/Publications/Parliament/SenateOrder/,Home : Senate Order : Department of Defence
Australian Air Force (Royal Australian Air Force),Defence,airforce.gov.au,http://airpower.airforce.gov.au/APDC/media/PDF-Files/Working%20Papers/WP31-Principles-of-War-and-Air-Power.pdf,Principles of War and Air Power - Royal Australian Air Force
Australian Army,Defence,army.gov.au,https://www.army.gov.au/sites/g/files/net1846/f/amf-military_orders_1918_0.pdf,AUSTRALIAS MILITARI FORCES.
Australian Defence Force Cover Scheme (ADF Cover),Defence,defence.gov.au,http://www.defence.gov.au/Publications/Parliament/SenateOrder/,Home : Senate Order : Department of Defence
Australian Defence Force Superannuation Scheme (ADF Super),Defence,militarysuper.gov.au,UNKNOWN,UNKNOWN
Australian Navy (Royal Australian Navy),Defence,navy.gov.au,http://www.navy.gov.au/sites/default/files/documents/2152.pdf,Not to be communicated to anyone outside H.M. Service ...
Chief of the Defence Force,Defence,defence.gov.au,http://www.defence.gov.au/Publications/Parliament/SenateOrder/,Home : Senate Order : Department of Defence
Defence Honours and Awards Appeals Tribunal,Defence,defence-honours-tribunal.gov.au,http://defence-honours-tribunal.gov.au/wp-content/uploads/2011/05/AF13004482.pdf,CHAPTER ELEVEN GUNNER ALBERT NEIL (NEALE) CLEARY
Director of Military Prosecutions,Defence,defence.gov.au,http://www.defence.gov.au/Publications/Parliament/SenateOrder/,Home : Senate Order : Department of Defence
Inspector-General of the Australian Defence Force,Defence,defence.gov.au,http://www.defence.gov.au/Publications/Parliament/SenateOrder/,Home : Senate Order : Department of Defence
Judge Advocate General and Deputy Judge Advocate Generals,Defence,defence.gov.au,http://www.defence.gov.au/Publications/Parliament/SenateOrder/,Home : Senate Order : Department of Defence
Office of Reserve Service Protection,Defence,defencereservessupport.gov.au,UNKNOWN,UNKNOWN
Vice Chief of the Defence Force,Defence,defence.gov.au,http://www.defence.gov.au/Publications/Parliament/SenateOrder/,Home : Senate Order : Department of Defence
Department of Education and Training,Education and Training,education.gov.au,https://www.education.gov.au/senate-continuing-order-listing-departmental-files,Senate Continuing Order – Listing of Departmental Files ...
"Australian Curriculum, Assessment and Reporting Authority",Education and Training,acara.edu.au,https://www.acara.edu.au/about-us/acara-reports-and-publications,ACARA reports and publications
Australian National University,Education and Training,anu.edu.au,http://press-files.anu.edu.au/downloads/press/p98331/mobile/ch13s04.html,Freedom of information is vital - ANU Press
Australian Research Council,Education and Training,arc.gov.au,https://www.arc.gov.au/about-arc/reporting/senate-requirements,Senate Requirements | Australian Research Council
National Vocational Education and Training Regulator (Australian Skills Quality Authority),Education and Training,asqa.gov.au,https://www.asqa.gov.au/files/senateorderreport2016-17xlsx,senate_order_report_2016-17.xlsx | Australian Skills ...
Tertiary Education Quality and Standards Agency,Education and Training,teqsa.gov.au,https://www.teqsa.gov.au/latest-news/publications/provider-portal-frequently-asked-questions,Provider Portal - Frequently Asked Questions (FAQs ...
Higher Education Standards Panel,Education and Training,hestandards.gov.au,UNKNOWN,UNKNOWN
TPS Advisory Board,Education and Training,education.gov.au,https://www.education.gov.au/senate-continuing-order-listing-departmental-files,Senate Continuing Order – Listing of Departmental Files ...
Tuition Protection Service Director,Education and Training,education.gov.au,https://www.education.gov.au/senate-continuing-order-listing-departmental-files,Senate Continuing Order – Listing of Departmental Files ...
Unique Student Identifier,Education and Training,usi.gov.au,https://www.usi.gov.au/,USI - Unique Student Identifier
Department of the Environment and Energy,Environment and Energy,environment.gov.au,https://www.environment.gov.au/about-us/accountability-reporting/files,Indexed List of Files Created - Australian Government ...
Australian Renewable Energy Agency,Environment and Energy,arena.gov.au,https://arena.gov.au/assets/2018/08/senate-order-contract-list-30-june-2018.pdf,Listing of Contracts in compliance with Senate Order ...
Bureau of Meteorology,Environment and Energy,bom.gov.au,http://www.bom.gov.au/water/regulations/faqAuxNav.shtml,Frequently Asked Questions: Water Regulations 2008: Water ...
Clean Energy Finance Corporation,Environment and Energy,cleanenergyfinancecorp.com.au,http://annualreport2015.cleanenergyfinancecorp.com.au/governance-structure-people/law-and-policy/other-legislation-policies-of-the-australian-government-and-key-governance-events/,"Other Legislation, Policies of the Australian Government ..."
Clean Energy Regulator,Environment and Energy,cleanenergyregulator.gov.au,http://www.cleanenergyregulator.gov.au/About/Accountability-and-reporting/Parliamentary-and-statutory-reporting/Continuing-Order-of-the-Senate-Indexed-lists-of-Agency-Files,Continuing order of the Senate - Indexed lists of Agency files
Climate Change Authority,Environment and Energy,climatechangeauthority.gov.au,http://climatechangeauthority.gov.au/senate-continuing-order-12-harradine-report-indexed-list-agency-files,Senate continuing order 12 (Harradine Report): indexed ...
Director of National Parks,Environment and Energy,environment.gov.au,https://www.environment.gov.au/about-us/accountability-reporting/files,Indexed List of Files Created - Australian Government ...
Great Barrier Reef Marine Park Authority,Environment and Energy,gbrmpa.gov.au,http://www.gbrmpa.gov.au/home/ips/IPS-indexed-list-of-files,GBRMPA - IPS indexed list of files
Sydney Harbour Federation Trust,Environment and Energy,harbourtrust.gov.au,http://www.harbourtrust.gov.au/system/files/pages/d72503f9-d6c5-4e60-9288-9652ae63dfae/files/list-contracts-1-january-2018-31-december.pdf,2018 SENATE ORDER FOR ENTITY CONTRACTS LISTING RELATING TO ...
Alligator Rivers Region Advisory Committee,Environment and Energy,environment.gov.au,https://www.environment.gov.au/about-us/accountability-reporting/files,Indexed List of Files Created - Australian Government ...
Alligator Rivers Region Technical Committee,Environment and Energy,environment.gov.au,https://www.environment.gov.au/about-us/accountability-reporting/files,Indexed List of Files Created - Australian Government ...
Australian Heritage Council,Environment and Energy,environment.gov.au,https://www.environment.gov.au/about-us/accountability-reporting/files,Indexed List of Files Created - Australian Government ...
Booderee National Park Board of Management,Environment and Energy,environment.gov.au,https://www.environment.gov.au/about-us/accountability-reporting/files,Indexed List of Files Created - Australian Government ...
Commonwealth Environmental Water Holder,Environment and Energy,environment.gov.au,https://www.environment.gov.au/about-us/accountability-reporting/files,Indexed List of Files Created - Australian Government ...
Commonwealth Environmental Water Office,Environment and Energy,environment.gov.au,https://www.environment.gov.au/about-us/accountability-reporting/files,Indexed List of Files Created - Australian Government ...
Emissions Reduction Assurance Committee,Environment and Energy,environment.gov.au,https://www.environment.gov.au/about-us/accountability-reporting/files,Indexed List of Files Created - Australian Government ...
Fuel Standards Consultative Committee,Environment and Energy,environment.gov.au,https://www.environment.gov.au/about-us/accountability-reporting/files,Indexed List of Files Created - Australian Government ...
Greenhouse and Energy Minimum Standards (GEMS) Regulator,Environment and Energy,energyrating.gov.au,http://www.energyrating.gov.au/sites/new.energyrating/files/documents/Report_Residential_Baseline_Study_for_New_Zealand_2000_-_2030_0_0.pdf,Residential Energy Baseline Study: New Zealand
Hazardous Waste Technical Group,Environment and Energy,environment.gov.au,https://www.environment.gov.au/about-us/accountability-reporting/files,Indexed List of Files Created - Australian Government ...
Independent Expert Scientific Committee on Coal Seam Gas and Large Coal Mining Development,Environment and Energy,environment.gov.au,https://www.environment.gov.au/about-us/accountability-reporting/files,Indexed List of Files Created - Australian Government ...
Indigenous Advisory Committee,Environment and Energy,environment.gov.au,https://www.environment.gov.au/about-us/accountability-reporting/files,Indexed List of Files Created - Australian Government ...
Kakadu Board of Management,Environment and Energy,environment.gov.au,https://www.environment.gov.au/about-us/accountability-reporting/files,Indexed List of Files Created - Australian Government ...
Land Sector Carbon and Biodiversity Board,Environment and Energy,environment.gov.au,https://www.environment.gov.au/about-us/accountability-reporting/files,Indexed List of Files Created - Australian Government ...
National Environment Protection Council,Environment and Energy,environment.gov.au,https://www.environment.gov.au/about-us/accountability-reporting/files,Indexed List of Files Created - Australian Government ...
National Wildlife Corridors Committee,Environment and Energy,environment.gov.au,https://www.environment.gov.au/about-us/accountability-reporting/files,Indexed List of Files Created - Australian Government ...
Threatened Species Scientific Committee,Environment and Energy,environment.gov.au,https://www.environment.gov.au/about-us/accountability-reporting/files,Indexed List of Files Created - Australian Government ...
Uluru-Kata Tjuta Board of Management,Environment and Energy,environment.gov.au,https://www.environment.gov.au/about-us/accountability-reporting/files,Indexed List of Files Created - Australian Government ...
Department of Finance,Finance,finance.gov.au,https://www.finance.gov.au/publications/senate-continuing-order/,Senate Order 12 - Production of Departmental File Lists ...
Australian Electoral Commission,Finance,aec.gov.au,https://www.aec.gov.au/About_AEC/Publications/List_of_files/,List of Files - Australian Electoral Commission
Commonwealth Superannuation Corporation,Finance,csc.gov.au,https://www.csc.gov.au/Employers/About-CSC/Corporate-governance/Senate-order-8,Senate order 8 - csc.gov.au
Future Fund Management Agency,Finance,futurefund.gov.au,https://www.futurefund.gov.au/about-us/access-to-information/parliamentary-and-statutory-reporting,Future Fund | Parliamentary and statutory reporting
Commonwealth Superannuation Scheme,Finance,css.gov.au,UNKNOWN,UNKNOWN
Defence Force Retirement and Death Benefits Scheme,Finance,dfrdb.gov.au,UNKNOWN,UNKNOWN
Future Fund Board of Guardians,Finance,futurefund.gov.au,https://www.futurefund.gov.au/about-us/access-to-information/parliamentary-and-statutory-reporting,Future Fund | Parliamentary and statutory reporting
Military Superannuation and Benefits Scheme,Finance,militarysuper.gov.au,UNKNOWN,UNKNOWN
Public Sector Superannuation Accumulation Plan,Finance,pssap.gov.au,UNKNOWN,UNKNOWN
Public Sector Superannuation Scheme,Finance,pss.gov.au,UNKNOWN,UNKNOWN
Department of Foreign Affairs and Trade,Foreign Affairs and Trade,dfat.gov.au,https://dfat.gov.au/about-us/corporate/new-departmental-files/Pages/new-departmental-files.aspx,New departmental files - Department of Foreign Affairs and ...
Australian Centre for International Agricultural Research,Foreign Affairs and Trade,aciar.gov.au,https://www.aciar.gov.au/Government-Reporting/List-New-Departmental-Files,List of New Departmental Files | ACIAR - Australian Centre ...
Australian Secret Intelligence Service,Foreign Affairs and Trade,asis.gov.au,https://www.asis.gov.au/media/Executive-Officer-EL1--this-one.pdf,S E L E C T I O N D O C U M E N T A T I O N
Australian Trade and Investment Commission (Austrade),Foreign Affairs and Trade,austrade.gov.au,https://www.austrade.gov.au/About/Corporate-Information/file-lists,List of New Departmental Files - Austrade
Export Finance and Insurance Corporation,Foreign Affairs and Trade,efic.gov.au,https://www.efic.gov.au/our-organisation/our-organisation/senate-order-entity-contracts/,Senate Order - Entity Contracts - efic.gov.au
Tourism Australia,Foreign Affairs and Trade,tourism.australia.com,http://www.tourism.australia.com/content/dam/assets/document/1/6/x/7/j/2002591.pdf,Tourism Australia Information Publication Scheme Plan
ACIAR Policy Advisory Council,Foreign Affairs and Trade,aciar.gov.au,https://www.aciar.gov.au/Government-Reporting/List-New-Departmental-Files,List of New Departmental Files | ACIAR - Australian Centre ...
Australian Safeguards and Non-Proliferation Office,Foreign Affairs and Trade,dfat.gov.au,https://dfat.gov.au/about-us/corporate/new-departmental-files/Pages/new-departmental-files.aspx,New departmental files - Department of Foreign Affairs and ...
Commission for International Agricultural Research,Foreign Affairs and Trade,aciar.gov.au,https://www.aciar.gov.au/Government-Reporting/List-New-Departmental-Files,List of New Departmental Files | ACIAR - Australian Centre ...
Pacific Women Shaping Pacific Development Advisory Board,Foreign Affairs and Trade,www.pacificwomen.org,UNKNOWN,UNKNOWN
Department of Health,Health,health.gov.au,https://beta.health.gov.au/resources/publications/departmental-files-senate-order-12-listing,Departmental files (Senate Order 12 Listing) | Australian ...
Aged Care Quality and Safety Commission,Health,agedcarequality.gov.au,https://www.agedcarequality.gov.au/about-uslegislation-and-policies/contract-listings,Contract listings | Aged Care Quality and Safety Commission
Australian Commission on Safety and Quality in Health Care,Health,safetyandquality.gov.au,https://www.safetyandquality.gov.au/about-us/indexed-agency-files/,Indexed List of Agency Files | Safety and Quality
Australian Digital Health Agency,Health,digitalhealth.gov.au,https://www.digitalhealth.gov.au/about-the-agency/reporting-agency-contracts/list-of-agency-contracts/Senate%20Order%20Register%20-%20August%202017.pdf,Senate Order for Contracts Listing Relating to the Period ...
Australian Institute of Health and Welfare,Health,aihw.gov.au,https://www.aihw.gov.au/indexed-list-of-files,Indexed list of files - Australian Institute of Health and ...
Australian National Preventive Health Agency,Health,quitnow.gov.au,http://www.quitnow.gov.au/internet/annrpt/publishing.nsf/Content/2AE204A48DE5083BCA2573EE000AD43B/$File/Outcome_10.pdf,OUTCOME 10 - quitnow.gov.au
Australian Organ and Tissue Donation and Transplantation Authority,Health,donatelife.gov.au,https://donatelife.gov.au/about-us/corporate-information/financial-reporting,Financial reporting | DonateLife
Australian Radiation Protection and Nuclear Safety Agency,Health,arpansa.gov.au,https://www.arpansa.gov.au/about-us/accessing-our-information/file-listing,File listing | ARPANSA
Australian Sports Anti-Doping Authority,Health,asada.gov.au,https://www.asada.gov.au/about-asada/corporate-information/file-list,File list | Australian Sports Anti-doping Authority - ASADA
Australian Sports Commission,Health,sportaus.gov.au,https://www.sportaus.gov.au/media_centre/publications#!,Publications | Sport Australia
Cancer Australia,Health,canceraustralia.gov.au,https://canceraustralia.gov.au/sites/default/files/cancer_australia_grants_contract_listing_contracts_for_the_2015-16_financial_year.pdf,Cancer Australia: Senate Order 192 (Murray Motion ...
Food Standards Australia New Zealand,Health,foodstandards.gov.au,http://www.foodstandards.gov.au/Pages/site-map.aspx,Site map - foodstandards.gov.au
Independent Hospital Pricing Authority,Health,ihpa.gov.au,https://www.ihpa.gov.au/who-we-are/senate-orders,Senate orders | IHPA
National Blood Authority,Health,blood.gov.au,https://www.blood.gov.au/governmental-compliance,Governmental Compliance | National Blood Authority
National Health and Medical Research Council,Health,nhmrc.gov.au,https://www.nhmrc.gov.au/about-us/accountability-and-reporting,Accountability and reporting | NHMRC
National Health Funding Body,Health,nhfb.gov.au,https://nhfb.gov.au/publications/senate-orders-and-directions/,Senate Orders and Directions - National Health Funding Body
National Mental Health Commission,Health,mentalhealthcommission.gov.au,http://mentalhealthcommission.gov.au/our-reports/our-national-report-cards/2013-report-card/supporting-information/references.aspx,References | National Mental Health Commission
Professional Services Review,Health,psr.gov.au,https://www.psr.gov.au/psr-agency-corporate-information/accountability-and-reporting,Accountability and reporting | Professional Services Review
Advisory Committee on Biologicals,Health,tga.gov.au,https://www.tga.gov.au/sites/default/files/tga-regulatory-change.pdf,Regulatory change: How the TGA legislation and guidelines ...
Advisory Committee on Chemicals Scheduling,Health,tga.gov.au,https://www.tga.gov.au/sites/default/files/tga-regulatory-change.pdf,Regulatory change: How the TGA legislation and guidelines ...
Advisory Committee on Complementary Medicines,Health,tga.gov.au,https://www.tga.gov.au/sites/default/files/tga-regulatory-change.pdf,Regulatory change: How the TGA legislation and guidelines ...
Advisory Committee on Medical Devices,Health,tga.gov.au,https://www.tga.gov.au/sites/default/files/tga-regulatory-change.pdf,Regulatory change: How the TGA legislation and guidelines ...
Advisory Committee on Medicines Scheduling,Health,tga.gov.au,https://www.tga.gov.au/sites/default/files/tga-regulatory-change.pdf,Regulatory change: How the TGA legislation and guidelines ...
Advisory Committee on Vaccines,Health,tga.gov.au,https://www.tga.gov.au/sites/default/files/tga-regulatory-change.pdf,Regulatory change: How the TGA legislation and guidelines ...
Aged Care Financing Authority,Health,health.gov.au,https://beta.health.gov.au/resources/publications/departmental-files-senate-order-12-listing,Departmental files (Senate Order 12 Listing) | Australian ...
Aged Care Pricing Commissioner,Health,acpc.gov.au,UNKNOWN,UNKNOWN
Aged Care Quality Advisory Council,Health,aacqa.gov.au,https://qpulse.aacqa.gov.au/QPulseWeb/UI/Help/Content/Glossary.htm,Glossary - Q-Pulse
Anti-Doping Rule Violation Panel,Health,asada.gov.au,https://www.asada.gov.au/about-asada/corporate-information/file-list,File list | Australian Sports Anti-doping Authority - ASADA
